A,$x_0$,w,$\sigma$(A),$\sigma$($x_0$),$\sigma$(w)
14648.319055157388,39930.01000469064,0.0751135959984603,1212.6673960618434,0.0071803253191687014,0.007180269186226967
34810.55805429992,39907.736746684786,0.09651008318362578,1197.5300626750816,0.003842022563888566,0.003887225043477624
50357.84812305722,39907.25449555158,0.10856350541181423,1129.7816457281813,0.0028149682857887375,0.0028521601349732616
14612.743283005975,39830.01253885944,0.09965796628922097,1082.4741778479754,0.008524491418071356,0.008524453623086597
19605.317012001044,39810.027987082016,0.09210718832195612,1099.7594387519798,0.005966068602242997,0.005966037661128191
11572.78029673596,39737.03234103482,0.10020100568241598,1340.5573043317486,0.013402641555584916,0.013402583066463613
721192.1342981854,39530.039519785925,0.10374083207552882,1459.3435182241085,0.0002423967704061847,0.00024239579364132682
19076.685885759816,39467.17916105213,0.08287728188905572,1321.8309421519673,0.006631010188051421,0.006630968451453207
13118.536265956442,39321.49264478047,0.09427635910779228,1433.9799723960439,0.011899570671468676,0.011899513205187605
72544.67232888416,39309.93405264729,0.09368820991418625,1278.1473824149248,0.0019060362453024971,0.0019060269297798398
147197.23502739792,39151.78998610031,0.11813137188888698,1445.9495675728424,0.0013399512787763657,0.0013399471935845006
43623.156035797314,39039.98394764634,0.08892359646435206,1427.5930566876398,0.0033602787043043136,0.0033602607243762047
99963.48912359393,39007.28024811589,0.0933880282745971,1383.1024141860707,0.0014920209667706667,0.0014920137423659959
75465.03612601837,39003.71206750804,0.09748205582721395,1487.4563634652804,0.002218675564081926,0.0022186657053937776
14622.08391249567,38945.996753275285,0.14788726342711864,1166.8170834877008,0.013626810508094049,0.013626784270438987
14653.87089287976,38917.14541741996,0.04231070803829108,2364.0348200318886,0.008005203409298564,0.008050275895969454
122452.34698888616,38916.869833896424,0.08090659358840112,1722.2583293761834,0.0013146719191690227,0.0013485958427016033
109776.34317677024,38913.46479200826,0.08489200647584409,1669.009053928946,0.0014903484077203118,0.001490339714480408
11738.116164577576,38851.16606372475,0.10804470993191281,1379.1839756705544,0.014658776684057634,0.014658724077530107
22360.92447048046,38823.151315127085,0.09539028196566442,1666.5368211203827,0.008209184314087086,0.008209146582216977
37848.33483301827,38758.26662481585,0.08993220307403212,1785.4446641142465,0.008618046568021051,0.008331434990338834
17063.777320177298,38758.038071951305,0.07013004051804726,2175.5670623084366,0.016403234749983245,0.014409175034933676
66731.89739632458,38714.184875900304,0.08262396954619124,1555.6840076389055,0.002224155368944133,0.0022241418160989608
34919.15988622971,38678.704466095034,0.11360787560635688,1043.9273007971703,0.003921798001631979,0.003921785388520789
13169.068645952899,38658.854295344965,0.1271850368243265,1179.3912695664671,0.013152520565010128,0.013152486837291352
43326.24870437924,38582.2690130942,0.11624905442722729,1408.2854376101636,0.00436314149261829,0.004363128153276387
11322.3130740393,38512.09351184997,0.09148011755962747,1478.9083749549775,0.013797602620701333,0.013797534758315287
12073.372744380185,38506.011134488,0.06679024547740733,1295.3337750371293,0.008274438488107013,0.008274345813478502
42339.17753892662,38472.16439679666,0.0883654121625975,1279.3479372934385,0.003083204494035944,0.0030845929533878562
29443.14752630104,38471.58108141802,0.1169870955398663,1111.9288274342791,0.005101152964541837,0.005103915507441529
23349.942354241182,38466.36843317324,0.09553322267206912,1218.7659842401072,0.005757840475180459,0.005757814570134999
183222.14135902477,38445.611273706956,0.12704070408366527,1234.2173587597692,0.000988158711932718,0.0009881562002287331
21295.201819419726,38328.14647694086,0.11359386976500728,1118.2486264944846,0.0068878202586056215,0.006887798492314265
23287.580050228884,38289.91578338935,0.10276781239720173,1091.9822668703375,0.005564406346262561,0.005564384901620181
61950.34829942583,38239.28453955585,0.11247785998587514,1049.7863196580274,0.002200870618461143,0.0022008635571507044
7838.021326682179,38164.284286965536,0.14999999999999997,1043.1773725955625,0.023052197678225934,0.02305226948588985
10545.056657149265,37574.401128531405,0.06642754507823086,1521.5961762927286,0.012173767391820658,0.01310491997663652
12602.101385196765,37574.16715629564,0.062497716719213066,1560.0455903369916,0.009918999301491215,0.010532190707838571
28598.21202532945,37573.617732599036,0.10504784275308554,1188.2391546793028,0.005039888819365646,0.005039956492800252
19224.05491839615,37518.000762478594,0.0930837777780828,1299.78432672545,0.007267264904911533,0.007267232121580496
37129.32222200338,37122.016795882075,0.08420699467217779,1774.8868398862064,0.004648071033174449,0.004648046252342832
16898.8769215008,37121.46456986175,0.06383309232336389,2038.5550421714802,0.00889169458087599,0.008891515098137787
