A,$x_0$,w,$\sigma$(A),$\sigma$($x_0$),$\sigma$(w)
23832.719559899542,39930.00606324442,0.05541433182090233,1822.2044604838227,0.004891245899077338,0.004893717445543934
57457.34035204928,39907.738716919375,0.06667597166615634,1844.555933875773,0.002471651588758599,0.0024716401777212476
84086.41235399208,39907.25721010473,0.07518362707530332,1737.0536032917391,0.0017934204000242206,0.0017934109190609658
21726.656416316026,39830.01533415746,0.06515057970996291,1661.890041866954,0.005754385228460608,0.005754362322645836
28882.01309970837,39810.01810422488,0.0661411296981362,1626.4983601395109,0.004301010901408671,0.0043009564128354705
18414.226409585273,39737.0540833706,0.07886020077851276,1916.5958486481763,0.009477774487993735,0.00947770767337383
16053.319613991702,39594.28832189752,0.05378539397193314,2201.3375327611707,0.008520192190823098,0.008511784822592615
1163479.8566103796,39530.04008626325,0.0724377358257694,2684.1450582039947,0.00019296731147023767,0.00019296573860409254
32124.236927595266,39467.17677828451,0.05965863447027088,2004.2020323138167,0.004297907440082542,0.004297804435363195
18800.670921600664,39431.33296382727,0.04899544451343601,2321.6426933835164,0.006967196565404909,0.007007482043958768
21549.968742437755,39321.485418397875,0.06665957390290671,2106.9863152154567,0.007525755859214806,0.0075256690554902925
117898.82650769589,39309.93286091011,0.06674803288026836,2027.6996718750524,0.001325575199996324,0.0013255656771331927
14729.13868294823,39268.04527378978,0.06868862151245746,2085.30306173667,0.011229198630804413,0.011229089380831805
191943.98176433434,39151.796600204194,0.09562652966753803,2282.261698723311,0.0013129254573085107,0.00131291934900142
68051.85174876859,39039.98976654371,0.06345631053766912,2034.4976551776615,0.0021905940167397248,0.002190602691258512
188966.7953562194,39007.26981478169,0.06194599071206041,2164.508067009404,0.0010505831967186118,0.0011481383744297471
43764.20681161853,39007.10937812326,0.04000000000000114,2624.670236148609,0.0037308127364433247,0.003326776925928141
138978.84452317568,39003.69268729107,0.07915884154143368,3175.260212166013,0.0020883408950082556,0.002088326824216463
26369.517661928578,38946.0235295086,0.0919868273028292,1797.5522756839339,0.007239075220107125,0.007250391089488736
17837.121579923838,38945.622779406025,0.05532199322849801,2317.8123155862863,0.008301120100021578,0.008313858374935966
