A,$x_0$,w,$\sigma$(A),$\sigma$($x_0$),$\sigma$(w)
47536.526371832384,39930.00211447183,0.04000000024166866,4066.1586505164605,0.0038200495288851083,0.004057748237382274
115886.19690147383,39907.74751613397,0.07038706846646317,3618.662603374259,0.002954930372160478,0.0031242653703181795
34537.371948575856,39907.463885881014,0.08108766351071985,3782.8670885903475,0.024803084534690736,0.024993450947140537
183630.0354408982,39907.256187051054,0.06966351578637223,4720.601384370309,0.003719451579760291,0.005814022546988859
35146.28946478694,39907.063438071076,0.06396007643302183,10728.372633229832,0.017896893167910235,0.02245856752226887
22234.326352440297,39906.843232675565,0.14999999999945646,2956.9784112875545,0.06423985817748804,0.0499155661596949
38184.415683930674,39830.01376664311,0.04000000000506507,4217.6296747046035,0.004866719910755718,0.005288551904303856
48410.44353140252,39810.00908869638,0.0434611917684687,3707.8136154887607,0.0039031982295949412,0.0037887234852025005
37499.23986515669,39737.06361397926,0.060295950990792366,3193.4205515890444,0.0059292635575466995,0.005928995931393544
22582.85838227868,39723.83601274654,0.08606028687282992,2989.2113576589386,0.013153811147118808,0.013153733348725627
31794.80393079006,39594.2925035828,0.04000000000000001,4276.662917672082,0.0064684746020322115,0.006011327170775623
28523.277565137214,39534.60662782856,0.14999999999999997,4530.191436374725,0.02750922162112097,0.02750916855347687
41395.41611486837,39532.401864624015,0.14999999999999997,29176.221432379643,0.2605004316435434,0.19047448393871103
50907.64639022369,39532.01112976075,0.14999999999999997,25609.854067219356,0.18747909076415292,0.20869976772864735
84053.04169662322,39531.48825575713,0.14999999999999997,21395.80909239849,0.0637240745945299,0.09256080132925858
115124.05138106633,39530.971353149405,0.14999999999999997,24606.079256204193,0.11044268439539198,0.12643269177988103
108831.26180286377,39530.69515827992,0.08891393785145474,95785.25154888547,0.06219243024556612,0.06968731512748685
392140.3390588839,39530.34219970704,0.14999999999999997,25080.164983767427,0.01559393433878708,0.032401419293863
2112494.148945613,39530.0428465655,0.068966500277265,98163.78080090524,0.0021726486566622876,0.002693060108966661
381658.81456466025,39529.7792602539,0.14999999999999997,25564.412729477783,0.022018113764827377,0.04588962489087266
108091.65518197478,39529.44650038107,0.08047659170003106,111002.48283562696,0.054168510566510925,0.06582578452304323
116524.17874834522,39529.19779052735,0.14999999999999997,26260.34206896239,0.11996005237196793,0.10888305463771777
81588.4246536594,39528.63485107421,0.14999999999999997,20833.73816527436,0.052264203436863624,0.05684756966148616
40992.680228020894,39527.871911621085,0.14999999999999997,21367.272696696844,0.18899519494016465,0.174853305327565
34514.005863421204,39527.549653047776,0.08906920551156677,35808.6197839155,0.1591837038574538,0.23217074525824405
24888.61153228497,39527.37355400328,0.04473488863915968,62064.18726741882,0.12774481926024273,0.15424051199966338
29723.20645533379,39527.19800419157,0.06289209408470935,50451.93969901487,0.11243025223188673,0.15553678850069055
26232.477475332023,39526.91724401676,0.14999999999999997,22420.400936646278,0.2388207216130268,0.4029700451258271
26894.47852756809,39526.44606278423,0.14999999999999997,20835.606134520523,0.22904138175435915,0.2171353439045061
64248.72452819281,39467.17044887045,0.06564288961490533,3326.6822066580107,0.003924709157536496,0.003924655598164382
